name,birth_date,email,academic_degree,type
Никол Добромирова Добрева,1962-10-12,MNnmCT@abv.bg,1,3
Спас Димитров,1984-09-09,HwTeVA@abv.bg,4,2
Мартин Димитров,1980-04-26,qivgnp@abv.bg,8,2
Павел Николов,1983-12-28,MnEXWS@abv.bg,2,3
Георги Балтиев,1984-09-14,jSKwrW@abv.bg,5,2
Георги Златинов,1976-07-10,sawvZg@abv.bg,6,3
Светла Петрова Драганова,1982-03-19,yhXVbj@abv.bg,8,2
Кирил Кирилов,1989-09-10,GBfzal@abv.bg,5,1
Даниел Рачев,1977-02-03,Zhwesv@abv.bg,8,3
Даниел Рачев,1989-02-11,njSeJy@abv.bg,1,3
Георги Златинов,1966-03-26,clUpJh@abv.bg,3,1
Мартин Димитров,1968-01-25,QkQTJc@abv.bg,6,1
Ивайло Антонов Иванов,1989-11-11,RMXJbu@abv.bg,1,1
Георги Динков,1975-05-31,gDSGRB@abv.bg,1,3
Милко Бакалов,1981-05-20,jNjuxY@abv.bg,8,3
Иван Попов,1980-11-02,cJPgAW@abv.bg,8,3
Георги Димиторв,1960-07-12,zFmmSS@abv.bg,5,2
Румен Костов,1973-07-09,ANPaRD@abv.bg,7,3
Георги Динков,1986-08-25,knwxok@abv.bg,1,2
Атанас Илиев,1981-07-12,WoLApO@abv.bg,4,1
Стилиян Кожухаров,1983-09-04,Ddtcrt@abv.bg,2,3
Светла Петрова Драганова,1965-01-15,COzbce@abv.bg,3,3
Спас Димитров,1988-02-24,kIDRci@abv.bg,9,3
Борислав Кирилов,1968-07-31,qFxZJq@abv.bg,1,2
Персиан Турсунов,1979-07-10,pZwKcF@abv.bg,1,2
Кирил Кирилов,1974-03-21,KeWXGq@abv.bg,1,3
Александър Драгомиров Русев,1988-04-23,RbGqbE@abv.bg,9,1
Десислава Николова,1975-07-22,nRbgzT@abv.bg,2,1
Филип Тодоров,1983-05-24,JrQEaV@abv.bg,1,3
Борислав Кирилов,1971-12-23,gZCOXH@abv.bg,5,1
Александър Драгомиров Русев,1968-06-15,ahgcMy@abv.bg,6,2
Никол Добромирова Добрева,1973-11-05,hrlQJr@abv.bg,3,1
Константин Каменов,1962-08-07,pzDVgh@abv.bg,7,2
Румен Миленов Михов,1966-11-14,WbstQc@abv.bg,2,1
Константин Илиев,1976-10-26,ngUzar@abv.bg,2,1
Валери Ванков,1977-10-23,bqNQtd@abv.bg,1,2
Стилиян Кожухаров,1968-06-20,sKKLaS@abv.bg,9,1
Стефанка Манахова,1989-05-22,kmLVKV@abv.bg,2,1
Ивайло Антонов Иванов,1984-04-16,TaUqXK@abv.bg,4,2
Константин Каменов,1960-11-24,VqebLA@abv.bg,4,3
Борислав Стоянов,1985-09-19,jUqeQZ@abv.bg,1,1
Константин Каменов,1970-05-27,FfsQhP@abv.bg,4,3
Иван Петков,1973-11-15,rjUFnV@abv.bg,1,2
Стилиян Кожухаров,1984-10-23,PydcUl@abv.bg,5,2
Константин Илиев,1987-01-14,zmZuNa@abv.bg,4,2
Петър Дойнов,1966-10-18,KgOgRu@abv.bg,5,2
Петър Петков,1974-02-23,wuxQbA@abv.bg,6,3
Денис Божкив,1985-11-01,mlBctG@abv.bg,7,2
Ангел Райчев,1986-12-18,HLTehE@abv.bg,5,2
Румен Миленов Михов,1986-07-28,WehuYA@abv.bg,6,1
